model,run,stage,meeting,alignscore,minicheck_ft5_mean,minicheck_ft5_supported_ratio,qafacteval_score,rouge1,rouge2,rougeL,bertscore_f1,summary_words
gemini,3,baseline,education_1,0.6919,0.6312,0.625,1.8331,0.3729,0.0827,0.1937,0.8563,226
gemini,3,reflection,Bdb001,0.8468,0.5483,0.5556,0.9519,0.2828,0.0208,0.1448,0.8611,191
gemini,3,reflection,Bed004,0.3647,0.0248,0.0,0.1293,0.3098,0.0746,0.1751,0.8517,167
gemini,3,reflection,Bed005,0.6296,0.2338,0.1818,0.7922,0.3107,0.0511,0.1412,0.8351,249
gemini,3,reflection,Bed006,0.456,0.2694,0.25,0.8249,0.254,0.0639,0.127,0.8504,194
gemini,3,reflection,Bed009,0.5607,0.4094,0.4444,0.9841,0.2545,0.0513,0.1527,0.8446,214
gemini,3,reflection,Bed011,0.6054,0.3254,0.25,1.2294,0.2766,0.05,0.1631,0.8463,180
gemini,3,reflection,ES2008c,0.8309,0.4527,0.5,0.9106,0.331,0.076,0.1655,0.8434,303
gemini,3,reflection,ES2008d,0.7014,0.0525,0.0,0.9264,0.436,0.1185,0.2353,0.8657,164
gemini,3,reflection,ES2010a,0.8925,0.6436,0.5714,2.1118,0.3509,0.0919,0.2105,0.8534,159
gemini,3,reflection,ES2010b,0.7621,0.2417,0.1429,1.0318,0.4107,0.1018,0.2083,0.8609,180
gemini,3,reflection,ES2010c,0.6498,0.3366,0.25,0.9059,0.4405,0.1138,0.2321,0.8716,180
gemini,3,reflection,ES2010d,0.7213,0.3251,0.2857,0.6622,0.4164,0.1079,0.2271,0.8555,186
gemini,3,reflection,covid_0,0.7428,0.4851,0.5455,1.5513,0.2599,0.0284,0.1356,0.8237,221
gemini,3,reflection,covid_1,0.4899,0.3309,0.2857,0.6573,0.1972,0.0142,0.1197,0.8354,197
gemini,3,reflection,covid_10,0.4443,0.336,0.3333,0.9407,0.2427,0.0341,0.1505,0.8399,278
gemini,3,reflection,covid_3,0.332,0.058,0.0,0.6587,0.2682,0.0757,0.1835,0.844,315
gemini,3,reflection,covid_5,0.5961,0.5791,0.5714,0.823,0.3099,0.0963,0.1915,0.8315,190
gemini,3,reflection,covid_7,0.5765,0.2837,0.2,1.2838,0.2567,0.0535,0.1646,0.8117,281
gemini,3,reflection,covid_8,0.6889,0.2185,0.1429,0.9463,0.2691,0.0147,0.1382,0.8325,140
gemini,3,reflection,education_1,0.7599,0.7048,0.7143,1.8611,0.3852,0.0902,0.2058,0.8593,192
grok,1,baseline,Bdb001,0.5062,0.4435,0.5,0.5528,0.2478,0.0179,0.1416,0.8559,125
grok,1,baseline,Bed004,0.5422,0.0415,0.0,0.8721,0.2455,0.0436,0.1661,0.8406,149
grok,1,baseline,Bed005,0.5093,0.184,0.1667,0.3894,0.2305,0.0273,0.1288,0.8337,187
grok,1,baseline,Bed006,0.5063,0.1679,0.1667,0.1843,0.2517,0.0423,0.1399,0.8551,166
grok,1,baseline,Bed009,0.1956,0.0511,0.0,0.4838,0.213,0.0374,0.1111,0.844,148
grok,1,baseline,Bed011,0.6312,0.0684,0.0,0.3557,0.298,0.0474,0.1569,0.8415,148
grok,1,baseline,ES2008c,0.7285,0.175,0.25,0.2897,0.4016,0.0891,0.241,0.8629,137
grok,1,baseline,ES2008d,0.5713,0.0381,0.0,0.7622,0.4176,0.1107,0.2418,0.8642,145
grok,1,baseline,ES2010a,0.64,0.0623,0.0,0.4745,0.3643,0.0859,0.2248,0.8676,134
grok,1,baseline,ES2010b,0.6298,0.6649,0.7143,0.6999,0.4735,0.0996,0.2332,0.8694,132
grok,1,baseline,ES2010c,0.7873,0.1433,0.1667,0.9152,0.4369,0.1031,0.2389,0.8682,141
grok,1,baseline,ES2010d,0.3726,0.0213,0.0,0.5432,0.3649,0.0283,0.1895,0.854,154
grok,1,baseline,covid_0,0.274,0.0458,0.0,0.6759,0.2143,0.0432,0.1214,0.8424,148
grok,1,baseline,covid_1,0.523,0.1575,0.0,0.3244,0.2385,0.0,0.1193,0.8379,131
grok,1,baseline,covid_10,0.5998,0.3039,0.2,1.2669,0.2568,0.0314,0.1634,0.841,130
grok,1,baseline,covid_3,0.7477,0.2409,0.2,0.629,0.359,0.1207,0.2137,0.854,139
grok,1,baseline,covid_5,0.5927,0.19,0.25,1.0941,0.2606,0.1049,0.1954,0.8458,137
grok,1,baseline,covid_7,0.458,0.2512,0.2,0.6966,0.2609,0.0657,0.1667,0.842,149
grok,1,baseline,covid_8,0.5377,0.2412,0.25,1.1222,0.2454,0.03,0.171,0.8326,134
grok,1,baseline,education_1,0.614,0.2622,0.25,1.759,0.3214,0.0539,0.1786,0.8493,139
grok,1,reflection,Bdb001,0.4979,0.2127,0.25,0.7062,0.2174,0.0175,0.1304,0.8508,129
grok,1,reflection,Bed004,0.5569,0.0415,0.0,0.8435,0.2473,0.044,0.1673,0.8405,147
grok,1,reflection,Bed005,0.5421,0.2051,0.1667,0.2652,0.2591,0.0327,0.1377,0.8335,140
grok,1,reflection,Bed006,0.5565,0.1753,0.1667,0.0723,0.2331,0.0379,0.1504,0.8522,147
grok,1,reflection,Bed009,0.5505,0.1996,0.1667,0.4297,0.2762,0.0447,0.1436,0.8413,116
grok,1,reflection,Bed011,0.7563,0.5001,0.4,0.3098,0.3125,0.0541,0.1696,0.8507,121
grok,1,reflection,ES2008c,0.7285,0.175,0.25,0.2897,0.4016,0.0891,0.241,0.8629,137
grok,1,reflection,ES2008d,0.5959,0.2178,0.2,0.9203,0.4078,0.1107,0.251,0.8649,126
grok,1,reflection,ES2010a,0.6423,0.0759,0.0,0.6861,0.3615,0.0853,0.2231,0.8668,136
grok,1,reflection,ES2010b,0.6298,0.6649,0.7143,0.6999,0.4735,0.0996,0.2332,0.8694,132
grok,1,reflection,ES2010c,0.8085,0.2939,0.3333,0.7743,0.4155,0.1064,0.2394,0.8652,132
grok,1,reflection,ES2010d,0.3726,0.0213,0.0,0.5432,0.3649,0.0283,0.1895,0.854,154
grok,1,reflection,covid_0,0.274,0.0458,0.0,0.6759,0.2143,0.0432,0.1214,0.8424,148
grok,1,reflection,covid_1,0.6769,0.2243,0.2,0.4168,0.1711,0.0,0.0963,0.8341,103
grok,1,reflection,covid_10,0.5998,0.3039,0.2,1.2669,0.2568,0.0314,0.1634,0.841,130
grok,1,reflection,covid_3,0.7328,0.2406,0.2,0.7372,0.3668,0.1233,0.2183,0.8538,134
grok,1,reflection,covid_5,0.5973,0.1877,0.25,1.0941,0.2658,0.107,0.1993,0.8471,131
grok,1,reflection,covid_7,0.5737,0.088,0.0,0.3984,0.2333,0.0672,0.1833,0.8366,110
grok,1,reflection,covid_8,0.557,0.2844,0.25,1.3436,0.2545,0.0366,0.1745,0.8325,140
grok,1,reflection,education_1,0.6082,0.2595,0.25,1.8464,0.3123,0.0544,0.1802,0.8489,136
grok,2,baseline,Bdb001,0.8584,0.2252,0.1667,0.5885,0.2232,0.0173,0.1202,0.8546,131
grok,2,baseline,Bed004,0.6445,0.4112,0.4286,1.0383,0.3146,0.0453,0.1723,0.8439,134
grok,2,baseline,Bed005,0.6504,0.0112,0.0,0.3375,0.2672,0.0231,0.1374,0.8375,149
grok,2,baseline,Bed006,0.4127,0.0741,0.0,0.1406,0.249,0.0471,0.1634,0.8531,137
grok,2,baseline,Bed009,0.4563,0.1835,0.2,0.582,0.246,0.0324,0.1283,0.8567,122
grok,2,baseline,Bed011,0.5087,0.1557,0.2,0.3797,0.3122,0.0511,0.2025,0.8417,130
grok,2,baseline,ES2008c,0.946,0.37,0.3333,0.5733,0.3833,0.0756,0.2,0.864,128
grok,2,baseline,ES2008d,0.6968,0.1787,0.1667,0.8108,0.3482,0.0816,0.2186,0.861,119
grok,2,baseline,ES2010a,0.85,0.1072,0.0,1.1447,0.332,0.0735,0.2105,0.8632,123
grok,2,baseline,ES2010b,0.6491,0.014,0.0,1.152,0.4742,0.1176,0.2268,0.8647,138
grok,2,baseline,ES2010c,0.7562,0.0432,0.0,0.8288,0.45,0.1223,0.2143,0.8694,122
grok,2,baseline,ES2010d,0.2899,0.0204,0.0,0.532,0.2892,0.0162,0.1687,0.8426,117
grok,2,baseline,covid_0,0.5199,0.0289,0.0,0.6266,0.2482,0.0441,0.1314,0.8391,144
grok,2,baseline,covid_1,0.6869,0.2706,0.2,0.9096,0.225,0.0168,0.125,0.8306,152
grok,2,baseline,covid_10,0.5268,0.2836,0.2,0.979,0.2528,0.0449,0.1413,0.8416,143
grok,2,baseline,covid_3,0.3689,0.0401,0.0,0.7955,0.3587,0.1357,0.2242,0.8601,127
grok,2,baseline,covid_5,0.8568,0.4079,0.4,0.7075,0.3034,0.0486,0.1655,0.8467,126
grok,2,baseline,covid_7,0.6177,0.412,0.4,1.3164,0.2943,0.0532,0.1736,0.8404,133
grok,2,baseline,covid_8,0.3387,0.1553,0.0,1.2218,0.2313,0.0226,0.1642,0.8391,133
grok,2,baseline,education_1,0.4068,0.2103,0.2,1.3501,0.3354,0.0736,0.1768,0.8542,138
grok,2,reflection,Bdb001,0.8584,0.2252,0.1667,0.5885,0.2232,0.0173,0.1202,0.8546,131
grok,2,reflection,Bed004,0.7693,0.3307,0.3333,0.6675,0.2868,0.0304,0.1585,0.8401,133
grok,2,reflection,Bed005,0.3804,0.017,0.0,0.4815,0.2581,0.0407,0.121,0.8325,143
grok,2,reflection,Bed006,0.4127,0.0741,0.0,0.1406,0.249,0.0471,0.1634,0.8531,137
grok,2,reflection,Bed009,0.4563,0.1835,0.2,0.582,0.246,0.0324,0.1283,0.8567,122
grok,2,reflection,Bed011,0.5427,0.1604,0.25,0.4307,0.3168,0.08,0.198,0.8519,97
grok,2,reflection,ES2008c,0.9483,0.372,0.3333,0.6635,0.3882,0.0766,0.1941,0.8646,125
grok,2,reflection,ES2008d,0.6968,0.1787,0.1667,0.8108,0.3482,0.0816,0.2186,0.861,119
grok,2,reflection,ES2010a,0.8074,0.4295,0.4,1.872,0.332,0.0735,0.2105,0.8613,123
grok,2,reflection,ES2010b,0.7449,0.0165,0.0,0.9594,0.4792,0.1189,0.2292,0.8638,135
grok,2,reflection,ES2010c,0.7613,0.0443,0.0,0.83,0.45,0.1223,0.2143,0.8687,122
grok,2,reflection,ES2010d,0.2899,0.0204,0.0,0.532,0.2892,0.0162,0.1687,0.8426,117
grok,2,reflection,covid_0,0.5889,0.0206,0.0,0.6062,0.1466,0.0174,0.0862,0.8312,103
grok,2,reflection,covid_1,0.6869,0.2706,0.2,0.9096,0.225,0.0168,0.125,0.8306,152
grok,2,reflection,covid_10,0.6737,0.4278,0.4,1.2983,0.2439,0.041,0.1545,0.8374,120
grok,2,reflection,covid_3,0.45,0.0413,0.0,0.7009,0.341,0.1395,0.2304,0.8635,121
grok,2,reflection,covid_5,0.8568,0.4079,0.4,0.7075,0.3034,0.0486,0.1655,0.8467,126
grok,2,reflection,covid_7,0.7371,0.5854,0.6,1.0387,0.2609,0.0478,0.1739,0.8418,123
grok,2,reflection,covid_8,0.3527,0.155,0.0,1.2034,0.2314,0.025,0.157,0.8435,107
grok,2,reflection,education_1,0.3765,0.21,0.2,1.3508,0.3354,0.0736,0.1768,0.8537,138
grok,3,baseline,Bdb001,0.5337,0.0437,0.0,0.8382,0.2242,0.009,0.1166,0.8533,120
grok,3,baseline,Bed004,0.8057,0.1753,0.1667,0.3722,0.2626,0.0203,0.1616,0.8363,165
grok,3,baseline,Bed005,0.5645,0.1702,0.1667,0.4641,0.2846,0.041,0.122,0.8392,141
grok,3,baseline,Bed006,0.4335,0.1342,0.1429,0.2815,0.1784,0.015,0.1041,0.8365,151
grok,3,baseline,Bed009,0.4976,0.0506,0.0,0.3827,0.2564,0.0311,0.1333,0.8509,125
grok,3,baseline,Bed011,0.72,0.0562,0.0,0.0474,0.3358,0.0677,0.1567,0.8409,161
grok,3,baseline,ES2008c,0.8676,0.4548,0.5,0.5945,0.3557,0.0876,0.1976,0.8597,142
grok,3,baseline,ES2008d,0.3387,0.0191,0.0,0.6151,0.3547,0.076,0.2264,0.8631,137
grok,3,baseline,ES2010a,0.6558,0.3709,0.4,1.1447,0.3557,0.0797,0.2055,0.8599,129
grok,3,baseline,ES2010b,0.7224,0.3655,0.3333,0.6379,0.4828,0.1042,0.2207,0.8705,139
grok,3,baseline,ES2010c,0.8393,0.1968,0.2,0.8257,0.4746,0.1092,0.2305,0.8644,141
grok,3,baseline,ES2010d,0.4579,0.22,0.2,0.0418,0.2915,0.0408,0.1862,0.847,114
grok,3,baseline,covid_0,0.4831,0.2908,0.2,0.5251,0.2537,0.015,0.1269,0.8426,138
grok,3,baseline,covid_1,0.6234,0.1203,0.0,0.0748,0.2562,0.025,0.1405,0.8453,161
grok,3,baseline,covid_10,0.4317,0.0604,0.0,1.0838,0.2137,0.0077,0.1221,0.8468,134
grok,3,baseline,covid_3,0.4207,0.0705,0.0,0.8568,0.2937,0.104,0.2143,0.855,158
grok,3,baseline,covid_5,0.7578,0.2368,0.2,0.8251,0.3024,0.1107,0.2199,0.8522,127
grok,3,baseline,covid_7,0.4014,0.125,0.0,0.871,0.2397,0.0621,0.1507,0.8382,161
grok,3,baseline,covid_8,0.794,0.1296,0.0,0.9661,0.2171,0.0312,0.1473,0.8337,125
grok,3,baseline,education_1,0.6088,0.2592,0.25,2.3024,0.3101,0.051,0.1835,0.8527,124
grok,3,reflection,Bdb001,0.5243,0.0359,0.0,0.5528,0.2624,0.0091,0.1267,0.8606,118
grok,3,reflection,Bed004,0.8065,0.177,0.1667,0.6218,0.2644,0.0205,0.1627,0.8369,163
grok,3,reflection,Bed005,0.5684,0.1701,0.1667,0.4648,0.2857,0.0412,0.1224,0.8389,140
grok,3,reflection,Bed006,0.4335,0.1342,0.1429,0.2815,0.1784,0.015,0.1041,0.8365,151
grok,3,reflection,Bed009,0.4976,0.0506,0.0,0.3827,0.2564,0.0311,0.1333,0.8509,125
grok,3,reflection,Bed011,0.72,0.0562,0.0,0.0474,0.3358,0.0677,0.1567,0.8409,161
grok,3,reflection,ES2008c,0.8676,0.4548,0.5,0.5945,0.3557,0.0876,0.1976,0.8597,142
grok,3,reflection,ES2008d,0.3387,0.0191,0.0,0.6151,0.3547,0.076,0.2264,0.8631,137
grok,3,reflection,ES2010a,0.6558,0.3709,0.4,1.1447,0.3557,0.0797,0.2055,0.8599,129
grok,3,reflection,ES2010b,0.7691,0.5029,0.5,0.8723,0.493,0.1064,0.2183,0.8721,133
grok,3,reflection,ES2010c,0.8151,0.1969,0.2,0.8999,0.4875,0.1155,0.2366,0.8674,126
grok,3,reflection,ES2010d,0.4579,0.22,0.2,0.0418,0.2915,0.0408,0.1862,0.847,114
grok,3,reflection,covid_0,0.4857,0.1262,0.0,0.6647,0.2195,0.0082,0.1138,0.8385,116
grok,3,reflection,covid_1,0.6701,0.2854,0.3333,0.3947,0.216,0.019,0.1315,0.8405,131
grok,3,reflection,covid_10,0.5582,0.3646,0.5,1.6886,0.2537,0.0376,0.1343,0.8417,135
grok,3,reflection,covid_3,0.4207,0.0705,0.0,0.8568,0.2937,0.104,0.2143,0.855,158
grok,3,reflection,covid_5,0.7578,0.2368,0.2,0.8251,0.3024,0.1107,0.2199,0.8522,127
grok,3,reflection,covid_7,0.4088,0.2267,0.2,1.2717,0.2481,0.0682,0.1579,0.8374,134
grok,3,reflection,covid_8,0.7769,0.3177,0.25,1.3332,0.2041,0.0329,0.1388,0.8315,112
grok,3,reflection,education_1,0.6088,0.2592,0.25,2.3024,0.3101,0.051,0.1835,0.8527,124
o4mini,1,baseline,Bdb001,0.4883,0.3154,0.3333,0.6376,0.249,0.0251,0.1079,0.8502,134
o4mini,1,baseline,Bed004,0.4743,0.0372,0.0,0.5043,0.2197,0.0229,0.1288,0.8367,135
o4mini,1,baseline,Bed005,0.262,0.0123,0.0,0.1491,0.232,0.0161,0.12,0.8233,140
o4mini,1,baseline,Bed006,0.2902,0.1551,0.1429,0.4678,0.2353,0.0418,0.1315,0.8378,164
o4mini,1,baseline,Bed009,0.4214,0.0245,0.0,0.6509,0.266,0.0498,0.1281,0.8505,136
o4mini,1,baseline,Bed011,0.6227,0.2641,0.2857,0.2105,0.2822,0.0586,0.1494,0.8451,131
o4mini,1,baseline,ES2008c,0.824,0.4173,0.4286,0.6913,0.3035,0.0235,0.1634,0.8404,142
